,Local Council Area,Room Type,Price,Rating,Bedrooms,Beds,Bathrooms,Minimum Nights
0,Banyule,Entire home/apt,209.82,3.37,1.74,2.02,1.05,6.45
1,Bayside,Entire home/apt,432.53,2.82,1.88,2.25,1.11,4.92
2,Boroondara,Entire home/apt,265.28,3.0,1.84,2.22,1.08,7.45
3,Brimbank,Entire home/apt,199.3,3.28,2.32,3.47,1.3,2.61
4,Cardinia,Entire home/apt,301.59,3.84,2.18,2.86,1.27,2.4
5,Casey,Entire home/apt,260.66,2.92,2.83,3.33,1.42,2.47
6,Darebin,Entire home/apt,219.72,3.18,1.61,1.91,0.93,5.4
7,Frankston,Entire home/apt,310.42,3.31,1.94,2.47,1.11,2.87
8,Glen Eira,Entire home/apt,241.21,2.68,1.7,2.08,0.97,6.03
9,Greater Dandenong,Entire home/apt,276.26,2.78,2.19,2.81,1.19,2.27
10,Hobsons Bay,Entire home/apt,211.3,3.22,1.75,2.1,1.04,3.83
11,Hume,Entire home/apt,250.59,3.35,2.66,3.3,1.53,6.05
12,Kingston,Entire home/apt,315.88,2.95,2.07,2.57,1.23,6.59
13,Knox,Entire home/apt,257.23,3.33,2.26,2.81,1.31,3.32
14,Manningham,Entire home/apt,538.07,3.18,2.28,2.91,1.58,3.3
15,Maribyrnong,Entire home/apt,197.01,3.18,1.99,2.69,1.19,3.86
16,Maroondah,Entire home/apt,195.04,3.32,2.14,2.65,1.19,3.95
17,Melbourne,Entire home/apt,238.65,3.48,1.6,2.08,1.12,5.74
18,Melton,Entire home/apt,266.84,2.96,2.09,2.56,1.19,6.49
19,Monash,Entire home/apt,241.96,3.0,2.2,2.71,1.37,6.08
20,Moonee Valley,Entire home/apt,232.1,3.07,1.71,1.99,1.05,7.79
21,Moreland,Entire home/apt,187.64,3.36,1.64,1.9,1.01,5.52
22,Nillumbik,Entire home/apt,280.15,3.78,1.93,2.59,1.13,2.18
23,Port Phillip,Entire home/apt,317.99,3.15,1.49,1.75,0.92,4.91
